id,index,period,minute,second,possession,play_pattern_id,location,under_pressure,shot_key_pass_id,shot_body_part_id,shot_type_id,shot_outcome_id,shot_technique_id,shot_first_time,shot_aerial_won,distance_to_goal,angle_to_goal,key_pass_length,key_pass_angle,key_pass_height_id,key_pass_body_part_id,key_under_pressure,key_pass_switch,key_pass_cross,key_pass_cut_back,possession_duration
2258c11c-0916-4976-bfde-a66e89ffeb8d,191,1,3,31,10,4,"[101.0, 21.3]",False,430b01dd-eb13-4bf5-8df1-ecd0b76155a0,40.0,87.0,100.0,93.0,False,False,26.658769664033635,1.5360430861173602,12.340584,1.489674,1.0,38.0,True,False,False,False,85.66
f0be7ddf-1e01-4315-aee1-8d5fda52a739,383,1,7,2,14,3,"[103.9, 28.4]",False,b448b7d2-98ec-4653-8c4f-7e454e6d5570,40.0,87.0,96.0,93.0,False,False,19.84363877921587,1.2167856991175632,32.03389,-0.32076338,1.0,38.0,False,False,False,False,11.175000000000011
bb173d27-76c4-4044-b883-8bd6f8450cf2,654,1,13,21,25,4,"[112.5, 26.0]",False,d6330e4e-bb78-4f5a-a4a6-64c9a009ac54,38.0,87.0,100.0,93.0,True,False,15.88238017426859,2.1124557995816238,27.622635,-0.094265245,1.0,40.0,True,False,False,False,26.226999999999975
7b02c827-3580-4149-9912-216ce2bd544f,700,1,14,7,26,4,"[113.2, 46.0]",False,919c839b-6288-4171-a81e-9b4bc421f62a,40.0,87.0,97.0,93.0,True,False,9.068627239003705,1.2888599744654008,18.681808,-0.62958336,1.0,40.0,True,False,False,False,35.66399999999999
3b15d864-8738-4cb1-8275-f94277570223,837,1,17,27,31,1,"[92.8, 32.9]",False,37429340-4e96-4733-a358-edc378a51811,40.0,87.0,100.0,93.0,False,False,28.111385593741197,0.5025000507206455,8.729834,1.7434778,1.0,38.0,False,False,False,False,28.90199999999993
95655871-e92c-4fa1-82f2-0a92530a103a,926,1,19,48,55,7,"[103.6, 36.8]",False,,40.0,87.0,96.0,93.0,True,False,16.709278859364346,0.3681343724565405,,,,,False,False,False,False,17.951999999999998
313ee0b5-a142-43db-9427-8a16e94c6086,1014,1,22,1,58,1,"[87.3, 53.0]",False,f19adb31-0e4b-4bb9-b4e7-e6ca0391fb92,40.0,87.0,96.0,93.0,False,False,35.18934497827432,0.7494217895082624,23.3118,1.7345346,1.0,40.0,False,False,False,False,84.23000000000002
b6f5247f-3df5-43d2-8534-f43e234f4ceb,1022,1,22,39,59,2,"[92.0, 39.7]",False,,40.0,87.0,98.0,91.0,True,False,28.001607096736432,0.021067849445028666,,,,,False,False,False,False,4.786000000000058
40c77d62-6a03-4393-91aa-0da26932a9fc,1039,1,23,10,61,1,"[108.8, 41.0]",False,52cb09a2-5d84-46bc-83d1-4add86d30641,40.0,87.0,116.0,91.0,False,False,11.24455423749648,0.161104026769258,14.497241,-0.77076507,2.0,40.0,False,False,False,False,2.2760000000000673
6b8010bf-0d4d-4eef-b816-d8a66bb85060,1464,1,31,15,76,1,"[111.8, 33.9]",True,1312249f-33c0-4b39-9497-e7837e321b4e,37.0,87.0,98.0,93.0,False,True,10.220078277586726,1.1612580524830152,22.285421,1.2036225,3.0,38.0,False,False,True,False,34.91399999999999
8cd1433e-0de9-4130-b73e-fe717aa3a690,1506,1,32,18,78,1,"[110.2, 44.0]",False,433baa6d-0429-45d5-b0cb-413c1f7c8802,37.0,87.0,98.0,93.0,False,False,10.58489489791939,0.6981205370774686,22.604866,-1.7352177,3.0,40.0,False,False,True,False,18.08699999999999
bce6e8c1-30f4-4342-997b-adcca40c997c,1530,1,33,11,80,4,"[104.1, 37.1]",False,7fcc7409-b05f-49a6-907c-ad2e2a99d020,38.0,87.0,96.0,93.0,True,False,16.16230181626368,0.34354037204130083,24.002708,1.7297807,1.0,38.0,False,False,True,False,29.15599999999995
3a698c34-a36b-4ee6-8352-8fa6fb81cc2e,1677,1,36,18,85,7,"[111.7, 35.4]",False,ae111005-2153-42a7-b939-d8cfb9ff2bc7,37.0,87.0,98.0,93.0,False,False,9.489467845985883,0.8957552100959577,23.165924,1.7224611,3.0,40.0,False,False,True,False,30.382000000000062
08bb016f-4883-4eb0-bbcb-9fc66360e760,1830,1,42,52,93,7,"[104.4, 36.8]",False,,38.0,87.0,100.0,93.0,True,False,15.9248233899155,0.3848133957189045,,,,,False,False,False,False,32.547000000000025
419e7326-4eb5-4d3a-80e8-d6a2b2732495,2177,2,49,6,109,1,"[107.6, 34.8]",False,a86e52f6-56a1-4f9b-a8e5-3d296bea4eac,38.0,87.0,96.0,93.0,False,False,13.446189051177294,0.7439629125104273,24.285181,-1.0960995,1.0,40.0,False,False,False,False,7.299000000000007
ad6595c0-e69a-4428-a902-f0ad4139e6ee,2236,2,50,39,112,2,"[113.9, 46.6]",True,df969703-0dfb-4e25-a10c-a6747aeef922,37.0,87.0,97.0,93.0,False,True,8.987213138676525,1.4835173813543585,33.952465,-1.7514402,3.0,40.0,False,False,False,False,2.149000000000001
58001fb6-4f61-4014-9623-6f2c03c3222b,2411,2,55,8,118,2,"[113.6, 32.9]",True,bc677ee9-6608-41e5-975e-184660acd9aa,37.0,87.0,98.0,93.0,False,True,9.558765610684263,1.5274080810557304,33.418556,1.7634971,3.0,40.0,False,False,False,False,1.9279999999999973
9d02f429-e9eb-4e99-a5ee-d8083c6f2764,2453,2,55,55,119,7,"[99.1, 43.9]",False,39cbb712-5d15-4898-a841-55f2d5f1c032,38.0,87.0,100.0,93.0,False,False,21.260761980700508,0.3585623571383284,4.3931766,2.2917676,1.0,40.0,False,False,False,False,27.83800000000008
994a0ea5-b72e-416b-979e-39526221e8a1,2507,2,56,46,121,1,"[100.3, 41.5]",False,7181ae7d-d31e-417e-9e74-453f3bac1452,38.0,87.0,100.0,93.0,True,False,19.757024067404487,0.14696557153514211,5.0159745,1.6506263,1.0,40.0,False,False,False,False,40.46900000000005
3ad563e9-91f0-43c3-8ece-a80a57360c56,2602,2,58,50,128,1,"[97.8, 49.2]",False,dccae983-fdff-4771-8994-be19fde5da41,40.0,87.0,98.0,93.0,False,False,24.03081355260367,0.769598989559334,20.836987,2.288272,1.0,40.0,True,False,False,False,28.055999999999926
