match,team,player,period,minute,second,shot_location,pass_location,gk_location,under_pressure,play_pattern_id,shot_key_pass_id,shot_type_id,shot_technique_id,shot_outcome_id,shot_body_part_id,players_in_range,shot_first_time,shot_aerial_won,key_pass_height_id,key_pass_body_part_id,key_under_pressure,key_pass_switch,key_pass_cross,key_pass_cut_back,possession_duration
Sant Just - Can Vidalet,Can Vidalet,0,1,16,32,"110.4, 26.44",,"114.86, 33.65",False,6,False,87,93,100,40,2,False,False,0,0,False,False,False,False,1.63
Sant Just - Can Vidalet,Can Vidalet,0,1,16,41,"98.74, 47.38","103.89, 52.19","118.63, 40.86",False,1,True,87,93,97,38,4,False,False,1,38,False,False,False,False,4.4
Sant Just - Can Vidalet,Sant Just,0,1,30,23,"93.94, 65.92",,"118.29, 42.92",False,3,False,62,93,98,38,3,True,False,0,0,False,False,False,False,0.33
Sant Just - Can Vidalet,Can Vidalet,0,1,39,58,"90.17, 35.02",,"117.6, 38.8",False,1,False,87,95,98,40,3,False,False,0,0,False,False,False,False,1.22
Sant Just - Can Vidalet,Can Vidalet,0,1,44,22,"99.77, 51.5",,"117.26, 37.08",False,6,False,87,95,96,38,2,False,False,0,0,False,False,False,False,1.17
Sant Just - Can Vidalet,Sant Just,0,1,47,41,"102.51, 25.06",,"118.97, 38.11",False,4,False,87,95,98,38,5,True,False,0,0,False,False,False,False,0.36
Sant Just - Can Vidalet,Sant Just,0,2,51,17,"92.91,17.85",,"118.63,38.45",False,3,False,62,93,96,40,4,True,False,0,0,False,False,False,False,0.27
Sant Just - Can Vidalet,Can Vidalet,0,2,55,25,"112.11,40.52","119.31,0.34","118.97,39.83",True,2,True,87,93,98,37,3,True,True,3,40,False,False,True,False,0.96
Sant Just - Can Vidalet,Sant Just,0,2,56,28,"108.00,31.24","110.40,69.70","118.29,37.77",False,1,True,87,94,98,40,4,True,False,3,38,False,False,True,False,7.58
Sant Just - Can Vidalet,Can Vidalet,0,2,82,2,"103.89,44.98",,"117.60,40.86",True,6,False,87,93,98,40,2,False,False,0,0,False,False,False,False,14.08
Sant Just - Can Vidalet,Sant Just,0,2,85,4,"96.00,18.20",,"117.94,39.48",False,3,False,62,93,98,40,6,True,False,0,0,False,False,False,False,0.25
Sant Just - Can Vidalet,Can Vidalet,0,2,94,48,"87.09,43.61",,"118.97,40.52",False,3,False,62,93,96,38,6,True,False,0,0,False,False,False,False,0.61
